Model Name,OverSampling Method,Selected Features Count,Selected Features,Epochs,Class,Accuracy,Precision,Recall,F1-Score,,Class Counts Before oversampling ,Class Counts After oversampling 
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,4,0.916418798,0.998743719,0.99375,0.996240602,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,5,0.916418798,0.98835705,0.955,0.971392244,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,6,0.916418798,0.75,0.67125,0.708443272,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,7,0.916418798,0.955205811,0.98625,0.970479705,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,0,0.925342058,0.981132075,0.996666667,0.988838363,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,1,0.925342058,0.692214112,0.785911602,0.736093144,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,2,0.925342058,0.969151671,0.9425,0.955640051,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,3,0.925342058,0.993726474,0.99,0.991859737,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,4,0.925342058,1,0.995,0.997493734,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,5,0.925342058,0.993556701,0.96375,0.978426396,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,6,0.925342058,0.769553073,0.68875,0.726912929,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,UNet,30,"[0, 1, 2, 3, 4, 5, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,7,0.925342058,0.967073171,0.99125,0.979012346,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiLSTM,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,0,0.922813801,0.977142857,0.9975,0.987216495,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
